(1, 'abyssinian', 'abyssinian')
(88, 'basset_hound', 'basset hound')
(89, 'basset_hound', 'basset hound')
(90, 'basset_hound', 'basset hound')
(91, 'basset_hound', 'basset hound')
(92, 'basset_hound', 'basset hound')
(93, 'basset_hound', 'basset hound')
(94, 'basset_hound', 'basset hound')
(95, 'basset_hound', 'basset hound')
(96, 'basset_hound', 'basset hound')
(97, 'basset_hound', 'basset hound')
(98, 'basset_hound', 'basset hound')
(99, 'basset_hound', 'basset hound')
(100, 'basset_hound', 'basset hound')
(101, 'beagle', 'beagle')
(102, 'beagle', 'beagle')
(103, 'beagle', 'beagle')
(104, 'beagle', 'beagle')
(105, 'beagle', 'beagle')
(106, 'beagle', 'beagle')
(107, 'beagle', 'beagle')
(108, 'beagle', 'beagle')
(109, 'beagle', 'beagle')
(110, 'beagle', 'beagle')
(111, 'beagle', 'beagle')
(112, 'beagle', 'beagle')
(113, 'beagle', 'beagle')
(114, 'beagle', 'beagle')
(115, 'beagle', 'beagle')
(116, 'beagle', 'beagle')
(117, 'beagle', 'beagle')
(118, 'beagle', 'beagle')
(119, 'beagle', 'beagle')
(120, 'beagle', 'beagle')
(121, 'beagle', 'beagle')
(122, 'beagle', 'beagle')
(123, 'beagle', 'beagle')
(124, 'beagle', 'beagle')
(125, 'beagle', 'beagle')
(126, 'bengal', 'bengal')
(127, 'bengal', 'bengal')
(128, 'bengal', 'bengal')
(129, 'bengal', 'bengal')
(130, 'bengal', 'bengal')
(131, 'bengal', 'bengal')
(132, 'bengal', 'bengal')
(133, 'bengal', 'bengal')
(134, 'bengal', 'bengal')
(135, 'bengal', 'bengal')
(136, 'bengal', 'bengal')
(137, 'bengal', 'bengal')
(138, 'bengal', 'bengal')
(139, 'bengal', 'bengal')
(140, 'bengal', 'bengal')
(141, 'bengal', 'bengal')
(142, 'bengal', 'bengal')
(143, 'bengal', 'bengal')
(144, 'bengal', 'bengal')
(145, 'bengal', 'bengal')
(146, 'bengal', 'bengal')
(147, 'bengal', 'bengal')
(148, 'bengal', 'bengal')
(149, 'bengal', 'bengal')
(150, 'bengal', 'bengal')
(151, 'birman', 'birman')
(152, 'birman', 'birman')
(153, 'birman', 'birman')
(154, 'birman', 'ragdoll')
(155, 'birman', 'birman')
(156, 'birman', 'birman')
(157, 'birman', 'ragdoll')
(158, 'birman', 'birman')
(159, 'birman', 'birman')
(160, 'birman', 'birman')
(161, 'birman', 'ragdoll')
(162, 'birman', 'birman')
(163, 'birman', 'birman')
(164, 'birman', 'birman')
(165, 'birman', 'birman')
(166, 'birman', 'birman')
(167, 'birman', 'birman')
(168, 'birman', 'birman')
(169, 'birman', 'birman')
(170, 'birman', 'birman')
(171, 'birman', 'birman')
(172, 'birman', 'ragdoll')
(173, 'birman', 'birman')
(174, 'birman', 'birman')
(175, 'birman', 'birman')
(176, 'bombay', 'bombay')
(177, 'bombay', 'bombay')
(178, 'bombay', 'exotic shorthair')
(179, 'bombay', 'bombay')
(180, 'bombay', 'bombay')
(181, 'bombay', 'bombay')
(182, 'bombay', 'bombay')
(183, 'bombay', 'bombay')
(184, 'bombay', 'bombay')
(185, 'bombay', 'bombay')
(186, 'bombay', 'bombay')
(187, 'bombay', 'bombay')
(188, 'bombay', 'exotic shorthair')
(189, 'bombay', 'bombay')
(190, 'bombay', 'bombay')
(191, 'bombay', 'bombay')
(192, 'bombay', 'bombay')
(193, 'bombay', 'bombay')
(194, 'bombay', 'bombay')
(195, 'bombay', 'bombay')
(196, 'bombay', 'bombay')
(197, 'bombay', 'bombay')
(198, 'bombay', 'bombay')
(199, 'bombay', 'bombay')
(200, 'bombay', 'bombay')
(201, 'boxer', 'boxer')
(202, 'boxer', 'boxer')
(203, 'boxer', 'boxer')
(204, 'boxer', 'boxer')
(205, 'boxer', 'boxer')
(206, 'boxer', 'boxer')
(207, 'boxer', 'boxer')
(208, 'boxer', 'boxer')
(209, 'boxer', 'boxer')
(210, 'boxer', 'boxer')
(211, 'boxer', 'boxer')
(212, 'boxer', 'boxer')
(213, 'boxer', 'boxer')
(214, 'boxer', 'boxer')
(215, 'boxer', 'boxer')
(216, 'boxer', 'boxer')
(217, 'boxer', 'boxer')
(218, 'boxer', 'boxer')
(219, 'boxer', 'boxer')
(220, 'boxer', 'boxer')
(221, 'boxer', 'boxer')
(222, 'boxer', 'boxer')
(223, 'boxer', 'boxer')
(224, 'boxer', 'boxer')
(225, 'boxer', 'boxer')
(226, 'british_shorthair', 'british shorthair')
(227, 'british_shorthair', 'british shorthair')
(228, 'british_shorthair', 'british shorthair')
(229, 'british_shorthair', 'british shorthair')
(230, 'british_shorthair', 'british shorthair')
(231, 'british_shorthair', 'british shorthair')
(232, 'british_shorthair', 'british shorthair')
(233, 'british_shorthair', 'british shorthair')
(234, 'british_shorthair', 'british shorthair')
(235, 'british_shorthair', 'british shorthair')
(236, 'british_shorthair', 'british shorthair')
(237, 'british_shorthair', 'british shorthair')
(238, 'british_shorthair', 'british shorthair')
(239, 'british_shorthair', 'british shorthair')
(240, 'british_shorthair', 'british shorthair')
(241, 'british_shorthair', 'british shorthair')
(242, 'british_shorthair', 'british shorthair')
(243, 'british_shorthair', 'british shorthair')
(244, 'british_shorthair', 'british shorthair')
(245, 'british_shorthair', 'british shorthair')
(246, 'british_shorthair', 'british shorthair')
(247, 'british_shorthair', 'british shorthair')
(248, 'british_shorthair', 'british shorthair')
(249, 'british_shorthair', 'british shorthair')
(250, 'british_shorthair', 'british shorthair')
(251, 'chihuahua', 'chihuahua')
(252, 'chihuahua', 'chihuahua')
(253, 'chihuahua', 'chihuahua')
(254, 'chihuahua', 'chihuahua')
(255, 'chihuahua', 'chihuahua')
(256, 'chihuahua', 'chihuahua')
(257, 'chihuahua', 'chihuahua')
(258, 'chihuahua', 'miniature pincher')
(259, 'chihuahua', 'chihuahua')
(260, 'chihuahua', 'chihuahua')
(261, 'chihuahua', 'chihuahua')
(262, 'chihuahua', 'chihuahua')
(263, 'chihuahua', 'chihuahua')
(264, 'chihuahua', 'chihuahua')
(265, 'chihuahua', 'chihuahua')
(266, 'chihuahua', 'chihuahua')
(267, 'chihuahua', 'chihuahua')
(268, 'chihuahua', 'chihuahua')
(269, 'chihuahua', 'chihuahua')
(270, 'chihuahua', 'chihuahua')
(271, 'chihuahua', 'chihuahua')
(272, 'chihuahua', 'rat terrier')
(273, 'chihuahua', 'chihuahua')
(274, 'chihuahua', 'chihuahua')
(275, 'chihuahua', 'chihuahua')
(276, 'egyptian_mau', 'egyptian mau')
(277, 'egyptian_mau', 'egyptian mau')
(278, 'egyptian_mau', 'egyptian mau')
(279, 'egyptian_mau', 'lykoi')
(280, 'egyptian_mau', 'egyptian mau')
(281, 'egyptian_mau', 'egyptian mau')
(282, 'egyptian_mau', 'egyptian mau')
(283, 'egyptian_mau', 'egyptian mau')
(284, 'egyptian_mau', 'egyptian mau')
(285, 'egyptian_mau', 'egyptian mau')
(286, 'egyptian_mau', 'egyptian mau')
(287, 'egyptian_mau', 'egyptian mau')
(288, 'egyptian_mau', 'egyptian mau')
(289, 'egyptian_mau', 'egyptian mau')
(290, 'egyptian_mau', 'egyptian mau')
(291, 'egyptian_mau', 'domestic short-haired cat')
(292, 'egyptian_mau', 'egyptian mau')
(293, 'egyptian_mau', 'egyptian mau')
(294, 'egyptian_mau', 'bengal')
(295, 'egyptian_mau', 'egyptian mau')
(296, 'egyptian_mau', 'bengal')
(297, 'egyptian_mau', 'egyptian mau')
(298, 'egyptian_mau', 'savannah')
(299, 'egyptian_mau', 'egyptian mau')
(300, 'egyptian_mau', 'egyptian mau')
(301, 'english_cocker_spaniel', 'cocker spaniel')
(302, 'english_cocker_spaniel', 'english cocker spaniel')
(303, 'english_cocker_spaniel', 'english cocker spaniel')
(304, 'english_cocker_spaniel', 'english cocker spaniel')
(305, 'english_cocker_spaniel', 'cocker spaniel')
(306, 'english_cocker_spaniel', 'cocker spaniel')
(307, 'english_cocker_spaniel', 'cocker spaniel')
(308, 'english_cocker_spaniel', 'english cocker spaniel')
(309, 'english_cocker_spaniel', 'cocker spaniel')
(310, 'english_cocker_spaniel', 'cocker spaniel')
(311, 'english_cocker_spaniel', 'cocker spaniel')
(312, 'english_cocker_spaniel', 'cocker spaniel')
(313, 'english_cocker_spaniel', 'cocker spaniel')
(314, 'english_cocker_spaniel', 'cocker spaniel')
(315, 'english_cocker_spaniel', 'cocker spaniel')
(316, 'english_cocker_spaniel', 'cocker spaniel')
(317, 'english_cocker_spaniel', 'cocker spaniel')
(318, 'english_cocker_spaniel', 'cocker spaniel')
(319, 'english_cocker_spaniel', 'cocker spaniel')
(320, 'english_cocker_spaniel', 'cocker spaniel')
(321, 'english_cocker_spaniel', 'english cocker spaniel')
(322, 'english_cocker_spaniel', 'cocker spaniel')
(323, 'english_cocker_spaniel', 'cocker spaniel')
(324, 'english_cocker_spaniel', 'cocker spaniel')
(325, 'english_cocker_spaniel', 'english cocker spaniel')
(326, 'english_setter', 'english setter')
(327, 'english_setter', 'english setter')
(328, 'english_setter', 'english setter')
(329, 'english_setter', 'english setter')
(330, 'english_setter', 'irish setter')
(331, 'english_setter', 'english setter')
(332, 'english_setter', 'english setter')
(333, 'english_setter', 'english setter')
(334, 'english_setter', 'english setter')
(335, 'english_setter', 'english setter')
(336, 'english_setter', 'english setter')
(337, 'english_setter', 'english setter')
(338, 'english_setter', 'english setter')
(339, 'english_setter', 'english setter')
(340, 'english_setter', 'english setter')
(341, 'english_setter', 'english setter')
(342, 'english_setter', 'english setter')
(343, 'english_setter', 'english setter')
(344, 'english_setter', 'english setter')
(345, 'english_setter', 'english setter')
(346, 'english_setter', 'english setter')
(347, 'english_setter', 'english setter')
(348, 'english_setter', 'english setter')
(349, 'english_setter', 'english setter')
(350, 'english_setter', 'english setter')
(351, 'german_shorthaired', 'german shorthaired pointer')
(352, 'german_shorthaired', 'german shorthaired pointer')
(353, 'german_shorthaired', 'german shorthaired pointer')
(354, 'german_shorthaired', 'german shorthaired pointer')
(355, 'german_shorthaired', 'german shorthaired pointer')
(356, 'german_shorthaired', 'german shorthaired pointer')
(357, 'german_shorthaired', 'german shorthaired pointer')
(358, 'german_shorthaired', 'german shorthaired pointer')
(359, 'german_shorthaired', 'german shorthaired pointer')
(360, 'german_shorthaired', 'german shorthaired pointer')
(361, 'german_shorthaired', 'german shorthaired pointer')
(362, 'german_shorthaired', 'german shorthaired pointer')
(363, 'german_shorthaired', 'german shorthaired pointer')
(364, 'german_shorthaired', 'german shorthaired pointer')
(365, 'german_shorthaired', 'german shorthaired pointer')
(366, 'german_shorthaired', 'german shorthaired pointer')
(367, 'german_shorthaired', 'german shorthaired pointer')
(368, 'german_shorthaired', 'german shorthaired pointer')
(369, 'german_shorthaired', 'german shorthaired pointer')
(370, 'german_shorthaired', 'chihuahua')
(371, 'german_shorthaired', 'australian cattle dog')
(372, 'german_shorthaired', 'german shorthaired pointer')
(373, 'german_shorthaired', 'great dane')
(374, 'german_shorthaired', 'german shorthaired pointer')
(375, 'german_shorthaired', 'german shorthaired pointer')
(376, 'great_pyrenees', 'great pyrenees')
(377, 'great_pyrenees', 'great pyrenees')
(378, 'great_pyrenees', 'great pyrenees')
(379, 'great_pyrenees', 'golden retriever')
(380, 'great_pyrenees', 'kuvasz')
(381, 'great_pyrenees', 'golden retriever')
(382, 'great_pyrenees', 'great pyrenees')
(383, 'great_pyrenees', 'great pyrenees')
(384, 'great_pyrenees', 'great pyrenees')
(385, 'great_pyrenees', 'great pyrenees')
(386, 'great_pyrenees', 'great pyrenees')
(387, 'great_pyrenees', 'great pyrenees')
(388, 'great_pyrenees', 'great pyrenees')
(389, 'great_pyrenees', 'great pyrenees')
(390, 'great_pyrenees', 'great pyrenees')
(391, 'great_pyrenees', 'great pyrenees')
(392, 'great_pyrenees', 'great pyrenees')
(393, 'great_pyrenees', 'kuvasz')
(394, 'great_pyrenees', 'great pyrenees')
(395, 'great_pyrenees', 'great pyrenees')
(396, 'great_pyrenees', 'great pyrenees')
(397, 'great_pyrenees', 'great pyrenees')
(398, 'great_pyrenees', 'great pyrenees')
(399, 'great_pyrenees', 'great pyrenees')
(400, 'great_pyrenees', 'great pyrenees')
(401, 'havanese', 'havanese')
(402, 'havanese', 'havanese')
(403, 'havanese', 'havanese')
(404, 'havanese', 'havanese')
(405, 'havanese', 'maltese dog')
(406, 'havanese', 'soft-coated wheaten terrier')
(407, 'havanese', 'havanese')
(408, 'havanese', 'tibetan terrier')
(409, 'havanese', 'havanese')
(410, 'havanese', 'havanese')
(411, 'havanese', 'havanese')
(412, 'havanese', 'havanese')
(413, 'havanese', 'maltese dog')
(414, 'havanese', 'lhasa apso')
(415, 'havanese', 'havanese')
(416, 'havanese', 'yorkshire terrier')
(417, 'havanese', 'havanese')
(418, 'havanese', 'yorkshire terrier')
(419, 'havanese', 'yorkshire terrier')
(420, 'havanese', 'havanese')
(421, 'havanese', 'havanese')
(422, 'havanese', 'toy poodle')
(423, 'havanese', 'havanese')
(424, 'havanese', 'havanese')
(425, 'havanese', 'shih tzu')
(426, 'japanese_chin', 'japanese chin')
(427, 'japanese_chin', 'pekingese')
(428, 'japanese_chin', 'pekingese')
(429, 'japanese_chin', 'japanese chin')
(430, 'japanese_chin', 'japanese chin')
(431, 'japanese_chin', 'japanese chin')
(432, 'japanese_chin', 'japanese spaniel')
(433, 'japanese_chin', 'japanese spaniel')
(434, 'japanese_chin', 'japanese chin')
(435, 'japanese_chin', 'japanese chin')
(436, 'japanese_chin', 'japanese chin')
(437, 'japanese_chin', 'japanese spaniel')
(438, 'japanese_chin', 'pekingese')
(439, 'japanese_chin', 'pekingese')
(440, 'japanese_chin', 'pekingese')
(441, 'japanese_chin', 'japanese chin')
(442, 'japanese_chin', 'japanese spaniel')
(443, 'japanese_chin', 'japanese chin')
(444, 'japanese_chin', 'japanese chin')
(445, 'japanese_chin', 'japanese chin')
(446, 'japanese_chin', 'japanese chin')
(447, 'japanese_chin', 'japanese chin')
(448, 'japanese_chin', 'japanese spaniel')
(449, 'japanese_chin', 'japanese chin')
(450, 'japanese_chin', 'japanese spaniel')
(451, 'keeshond', 'schipperke')
(452, 'keeshond', 'keeshond')
(453, 'keeshond', 'keeshond')
(454, 'keeshond', 'keeshond')
(455, 'keeshond', 'keeshond')
(456, 'keeshond', 'keeshond')
(457, 'keeshond', 'keeshond')
(458, 'keeshond', 'keeshond')
(459, 'keeshond', 'keeshond')
(460, 'keeshond', 'keeshond')
(461, 'keeshond', 'keeshond')
(462, 'keeshond', 'keeshond')
(463, 'keeshond', 'keeshond')
(464, 'keeshond', 'keeshond')
(465, 'keeshond', 'keeshond')
(466, 'keeshond', 'keeshond')
(467, 'keeshond', 'keeshond')
(468, 'keeshond', 'keeshond')
(469, 'keeshond', 'keeshond')
(470, 'keeshond', 'keeshond')
(471, 'keeshond', 'keeshond')
(472, 'keeshond', 'keeshond')
(473, 'keeshond', 'keeshond')
(474, 'keeshond', 'keeshond')
(475, 'keeshond', 'keeshond')
(476, 'leonberger', 'leonberger')
(477, 'leonberger', 'leonberger')
(478, 'leonberger', 'leonberger')
(479, 'leonberger', 'leonberger')
(480, 'leonberger', 'leonberger')
(481, 'leonberger', 'leonberger')
(482, 'leonberger', 'leonberger')
(483, 'leonberger', 'leonberger')
(484, 'leonberger', 'leonberger')
(485, 'leonberger', 'leonberger')
(486, 'leonberger', 'leonberger')
(487, 'leonberger', 'leonberger')
(488, 'leonberger', 'leonberger')
(489, 'leonberger', 'leonberger')
(490, 'leonberger', 'leonberger')
(491, 'leonberger', 'leonberger')
(492, 'leonberger', 'leonberger')
(493, 'leonberger', 'leonberger')
(494, 'leonberger', 'leonberger')
(495, 'leonberger', 'leonberger')
(496, 'leonberger', 'leonberger')
(497, 'leonberger', 'leonberger')
(498, 'leonberger', 'leonberger')
(499, 'leonberger', 'leonberger')
(500, 'leonberger', 'leonberger')
(501, 'maine_coon', 'maine coon')
(502, 'maine_coon', 'maine coon')
(503, 'maine_coon', 'domestic medium-haired cat')
(504, 'maine_coon', 'maine coon')
(505, 'maine_coon', 'maine coon')
(506, 'maine_coon', 'maine coon')
(507, 'maine_coon', 'maine coon')
(508, 'maine_coon', 'maine coon')
(509, 'maine_coon', 'maine coon')
(510, 'maine_coon', 'maine coon')
(511, 'maine_coon', 'maine coon')
(512, 'maine_coon', 'maine coon')
(513, 'maine_coon', 'maine coon')
(514, 'maine_coon', 'norwegian forest cat')
(515, 'maine_coon', 'maine coon')
(516, 'maine_coon', 'maine coon')
(517, 'maine_coon', 'maine coon')
(518, 'maine_coon', 'norwegian forest cat')
(519, 'maine_coon', 'norwegian forest cat')
(520, 'maine_coon', 'maine coon')
(521, 'maine_coon', 'maine coon')
(522, 'maine_coon', 'maine coon')
(523, 'maine_coon', 'maine coon')
(524, 'maine_coon', 'maine coon')
(525, 'maine_coon', 'maine coon')
(526, 'miniature_pinscher', 'mini pinscher')
(527, 'miniature_pinscher', 'mini pinscher')
(528, 'miniature_pinscher', 'miniature pinscher')
(529, 'miniature_pinscher', 'miniature pinscher')
(530, 'miniature_pinscher', 'miniature pinscher')
(531, 'miniature_pinscher', 'miniature pinscher')
(532, 'miniature_pinscher', 'miniature pinscher')
(533, 'miniature_pinscher', 'miniature pinscher')
(534, 'miniature_pinscher', 'miniature pinscher')
(535, 'miniature_pinscher', 'miniature pinscher')
(536, 'miniature_pinscher', 'miniature pinscher')
(537, 'miniature_pinscher', 'chihuahua')
(538, 'miniature_pinscher', 'miniature pinscher')
(539, 'miniature_pinscher', 'miniature pinscher')
(540, 'miniature_pinscher', 'miniature pinscher')
(541, 'miniature_pinscher', 'miniature pinscher')
(542, 'miniature_pinscher', 'dachshund')
(543, 'miniature_pinscher', 'miniature pinscher')
(544, 'miniature_pinscher', 'miniature pinscher')
(545, 'miniature_pinscher', 'minpinscher')
(546, 'miniature_pinscher', 'miniature pinscher')
(547, 'miniature_pinscher', 'miniature pinscher')
(548, 'miniature_pinscher', 'miniature pinscher')
(549, 'miniature_pinscher', 'miniature pinscher')
(550, 'miniature_pinscher', 'miniature pinscher')
(551, 'newfoundland', 'newfoundland')
(552, 'newfoundland', 'hovawart')
(553, 'newfoundland', 'newfoundland')
(554, 'newfoundland', 'newfoundland')
(555, 'newfoundland', 'newfoundland')
(556, 'newfoundland', 'newfoundland')
(557, 'newfoundland', 'newfoundland')
(558, 'newfoundland', 'newfoundland')
(559, 'newfoundland', 'newfoundland')
(560, 'newfoundland', 'newfoundland')
(561, 'newfoundland', 'newfoundland')
(562, 'newfoundland', 'newfoundland')
(563, 'newfoundland', 'newfoundland')
(564, 'newfoundland', 'newfoundland')
(565, 'newfoundland', 'newfoundland')
(566, 'newfoundland', 'newfoundland')
(567, 'newfoundland', 'newfoundland')
(568, 'newfoundland', 'newfoundland')
(569, 'newfoundland', 'newfoundland')
(570, 'newfoundland', 'newfoundland')
(571, 'newfoundland', 'newfoundland')
(572, 'newfoundland', 'newfoundland')
(573, 'newfoundland', 'newfoundland')
(574, 'newfoundland', 'newfoundland')
(575, 'newfoundland', 'newfoundland')
(576, 'persian', 'persian')
(577, 'persian', 'persian')
(578, 'persian', 'persian')
(579, 'persian', 'persian')
(580, 'persian', 'persian')
(581, 'persian', 'persian')
(582, 'persian', 'persian')
(583, 'persian', 'persian')
(584, 'persian', 'persian')
(585, 'persian', 'persian')
(586, 'persian', 'persian')
(587, 'persian', 'persian')
(588, 'persian', 'persian')
(589, 'persian', 'persian')
(590, 'persian', 'persian')
(591, 'persian', 'persian')
(592, 'persian', 'persian')
(593, 'persian', 'persian')
(594, 'persian', 'persian cat')
(595, 'persian', 'persian')
(596, 'persian', 'persian')
(597, 'persian', 'persian')
(598, 'persian', 'persian')
(599, 'persian', 'persian')
(600, 'persian', 'persian')
(601, 'pomeranian', 'pomeranian')
(602, 'pomeranian', 'pomeranian')
(603, 'pomeranian', 'pomeranian')
(604, 'pomeranian', 'pomeranian')
(605, 'pomeranian', 'pomeranian')
(606, 'pomeranian', 'pomeranian')
(607, 'pomeranian', 'pomeranian')
(608, 'pomeranian', 'pomeranian')
(609, 'pomeranian', 'pomeranian')
(610, 'pomeranian', 'pomeranian')
(611, 'pomeranian', 'pomeranian')
(612, 'pomeranian', 'pomeranian')
(613, 'pomeranian', 'pomeranian')
(614, 'pomeranian', 'pomeranian')
(615, 'pomeranian', 'pomeranian')
(616, 'pomeranian', 'pomeranian')
(617, 'pomeranian', 'pomeranian')
(618, 'pomeranian', 'pomeranian')
(619, 'pomeranian', 'pomeranian')
(620, 'pomeranian', 'pomeranian')
(621, 'pomeranian', 'pomeranian')
(622, 'pomeranian', 'pomeranian')
(623, 'pomeranian', 'pomeranian')
(624, 'pomeranian', 'pomeranian')
(625, 'pomeranian', 'pomeranian')
(626, 'pug', 'pug')
(627, 'pug', 'pug')
(628, 'pug', 'pug')
(629, 'pug', 'pug')
(630, 'pug', 'pug')
(631, 'pug', 'pug')
(632, 'pug', 'pug')
(633, 'pug', 'pug')
(634, 'pug', 'pug')
(635, 'pug', 'pug')
(636, 'pug', 'pug')
(637, 'pug', 'pug')
(638, 'pug', 'pug')
(639, 'pug', 'pug')
(640, 'pug', 'pug')
(641, 'pug', 'pug')
(642, 'pug', 'pug')
(643, 'pug', 'pug')
(644, 'pug', 'pug')
(645, 'pug', 'pug')
(646, 'pug', 'pug')
(647, 'pug', 'pug')
(648, 'pug', 'pug')
(649, 'pug', 'pug')
(650, 'pug', 'pug')
(651, 'ragdoll', 'ragdoll')
(652, 'ragdoll', 'ragdoll')
(653, 'ragdoll', 'birman')
(654, 'ragdoll', 'ragdoll')
(655, 'ragdoll', 'ragdoll')
(656, 'ragdoll', 'ragdoll')
(657, 'ragdoll', 'ragdoll')
(658, 'ragdoll', 'ragdoll')
(659, 'ragdoll', 'ragdoll')
(660, 'ragdoll', 'ragdoll')
(661, 'ragdoll', 'ragdoll')
(662, 'ragdoll', 'ragdoll')
(663, 'ragdoll', 'ragdoll')
(664, 'ragdoll', 'ragdoll')
(665, 'ragdoll', 'ragdoll')
(666, 'ragdoll', 'ragdoll')
(667, 'ragdoll', 'ragdoll')
(668, 'ragdoll', 'ragdoll')
(669, 'ragdoll', 'ragdoll')
(670, 'ragdoll', 'ragdoll')
(671, 'ragdoll', 'ragdoll')
(672, 'ragdoll', 'ragdoll')
(673, 'ragdoll', 'ragdoll')
(674, 'ragdoll', 'ragdoll')
(675, 'ragdoll', 'ragdoll')
(676, 'russian_blue', 'russian blue')
(677, 'russian_blue', 'russian blue')
(678, 'russian_blue', 'russian blue')
(679, 'russian_blue', 'russian blue')
(680, 'russian_blue', 'chartreux')
(681, 'russian_blue', 'russian blue')
(682, 'russian_blue', 'russian blue')
(683, 'russian_blue', 'russian blue')
(684, 'russian_blue', 'russian blue')
(685, 'russian_blue', 'russian blue')
(686, 'russian_blue', 'russian blue')
(687, 'russian_blue', 'russian blue')
(688, 'russian_blue', 'russian blue')
(689, 'russian_blue', 'russian blue')
(690, 'russian_blue', 'russian blue')
(691, 'russian_blue', 'russian blue')
(692, 'russian_blue', 'russian blue')
(693, 'russian_blue', 'russian blue')
(694, 'russian_blue', 'russian blue')
(695, 'russian_blue', 'chartreux')
(696, 'russian_blue', 'russian blue')
(697, 'russian_blue', 'russian blue')
(698, 'russian_blue', 'russian blue')
(699, 'russian_blue', 'russian blue')
(700, 'russian_blue', 'russian blue')
(701, 'saint_bernard', 'saint bernard')
(702, 'saint_bernard', 'saint bernard')
(703, 'saint_bernard', 'saint bernard')
(704, 'saint_bernard', 'saint bernard')
(705, 'saint_bernard', 'saint bernard')
(706, 'saint_bernard', 'saint bernard')
(707, 'saint_bernard', 'saint bernard')
(708, 'saint_bernard', 'saint bernard')
(709, 'saint_bernard', 'saint bernard')
(710, 'saint_bernard', 'saint bernard')
